Coral Type,Site,Year,Depletion Rate,latitude,longitude,Number of Records
Sea Pens,site01,2014,0.1076,-11.843,143.515,1
Sea Pens,site02,2014,0.2948,-18.937,147.898,1
Sea Pens,site03,2014,0.0901,-10.321,144.081,1
Sea Pens,site04,2014,0.3412,-20.414,150.444,1
Sea Pens,site05,2014,0.3534,-13.107,143.786,1
Sea Pens,site06,2014,0.5256,-17.981,146.589,1
Sea Pens,site07,2014,0.3467,-14.383,145.043,1
Sea Pens,site08,2014,0.0419,-16.091,145.715,1
Sea Pens,site01,2015,0.1245,-11.843,143.515,1
Sea Pens,site02,2015,0.3089,-18.937,147.898,1
Sea Pens,site03,2015,0.09012,-10.321,144.081,1
Sea Pens,site04,2015,0.3621,-20.414,150.444,1
Sea Pens,site05,2015,0.361,-13.107,143.786,1
Sea Pens,site06,2015,0.5923,-17.981,146.589,1
Sea Pens,site07,2015,0.3678,-14.383,145.043,1
Sea Pens,site08,2015,0.0434,-16.091,145.715,1
Sea Pens,site01,2016,0.1265,-11.843,143.515,1
Sea Pens,site02,2016,0.7012,-18.937,147.898,1
Sea Pens,site03,2016,0.0912,-10.321,144.081,1
Sea Pens,site04,2016,0.3823,-20.414,150.444,1
Sea Pens,site05,2016,0.3612,-13.107,143.786,1
Sea Pens,site06,2016,0.6034,-17.981,146.589,1
Sea Pens,site07,2016,0.3834,-14.383,145.043,1
Sea Pens,site08,2016,0.1045,-16.091,145.715,1
Sea Pens,site01,2017,0.1578,-11.843,143.515,1
Sea Pens,site02,2017,0.8013,-18.937,147.898,1
Sea Pens,site03,2017,0.0934,-10.321,144.081,1
Sea Pens,site04,2017,0.4123,-20.414,150.444,1
Sea Pens,site05,2017,0.3723,-13.107,143.786,1
Sea Pens,site06,2017,0.6787,-17.981,146.589,1
Sea Pens,site07,2017,0.4012,-14.383,145.043,1
Sea Pens,site08,2017,0.39,-16.091,145.715,1
Soft Coals,site01,2010,0.5629,-11.843,143.515,1
Soft Coals,site02,2010,,-18.937,147.898,1
Soft Coals,site03,2010,,-10.321,144.081,1
Soft Coals,site04,2010,0.1001,-20.414,150.444,1
Soft Coals,site05,2010,0.1445,-13.107,143.786,1
Soft Coals,site06,2010,,-17.981,146.589,1
Soft Coals,site07,2010,0.4034,-14.383,145.043,1
Soft Coals,site08,2010,,-16.091,145.715,1
Soft Coals,site01,2011,0.5543,-11.843,143.515,1
Soft Coals,site02,2011,,-18.937,147.898,1
Soft Coals,site03,2011,,-10.321,144.081,1
Soft Coals,site04,2011,0.1023,-20.414,150.444,1
Soft Coals,site05,2011,0.2913,-13.107,143.786,1
Soft Coals,site06,2011,,-17.981,146.589,1
Soft Coals,site07,2011,0.3998,-14.383,145.043,1
Soft Coals,site08,2011,,-16.091,145.715,1
Soft Coals,site01,2012,0.5643,-11.843,143.515,1
Soft Coals,site02,2012,,-18.937,147.898,1
Soft Coals,site03,2012,,-10.321,144.081,1
Soft Coals,site04,2012,0.1067,-20.414,150.444,1
Soft Coals,site05,2012,0.2845,-13.107,143.786,1
Soft Coals,site06,2012,,-17.981,146.589,1
Soft Coals,site07,2012,0.4012,-14.383,145.043,1
Soft Coals,site08,2012,,-16.091,145.715,1
Soft Coals,site01,2013,0.577,-11.843,143.515,1
Soft Coals,site02,2013,0.148,-18.937,147.898,1
Soft Coals,site03,2013,0.2589,-10.321,144.081,1
Soft Coals,site04,2013,0.1089,-20.414,150.444,1
Soft Coals,site05,2013,0.3023,-13.107,143.786,1
Soft Coals,site06,2013,,-17.981,146.589,1
Soft Coals,site07,2013,0.5512,-14.383,145.043,1
Soft Coals,site08,2013,0.5889,-16.091,145.715,1
